ID,Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID,Relevance,Search,Type_of_model,Type_of_model2,Experiment,Nutrient,Species,Temp_level,Nutrient_level,level_of_org,Pred_skill,interaction,what_to_predict
1,"Shikano, I., Cory, J.S.",Altered nutrient intake by baculovirus-challenged insects: Self-medication or compensatory feeding?,2016,Journal of Invertebrate Pathology,139,,,25,33,,,10.1016/j.jip.2016.07.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978393998&partnerID=40&md5=33d49f30512fad0c920a657c1ba9186c,Article,Scopus,2-s2.0-84978393998,0,1,,,,,,,,,,,
2,"Catherine, A., Selma, M., Mouillot, D., Troussellier, M., Bernard, C.",Patterns and multi-scale drivers of phytoplankton species richness in temperate peri-urban lakes,2016,Science of the Total Environment,559,,,74,83,,,10.1016/j.scitotenv.2016.03.179,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963680097&partnerID=40&md5=e9e5a8f896d66304fa40def87795c210,Article,Scopus,2-s2.0-84963680097,1,1,statistical,Random forest,0,"N, P",lake ecosystem,NA,NA,ecosystem,"RMSE, R2",0,SR
3,"van der Putten, W.H., Bradford, M.A., Pernilla Brinkman, E., van de Voorde, T.F.J., Veen, G.F., Bailey, J.K.","Where, when and how plant‰ÛÒsoil feedback matters in a changing world",2016,Functional Ecology,30,7,,1109,1121,,6,10.1111/1365-2435.12657,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964577534&partnerID=40&md5=09e9eb8779ea7590c9b1d0e6b8210574,Article,Scopus,2-s2.0-84964577534,0,1,,,,,,,,,,,
4,"Moorthi, S.D., Schmitt, J.A., Ryabov, A., Tsakalakis, I., Blasius, B., Prelle, L., Tiedemann, M., Hodapp, D.",Unifying ecological stoichiometry and metabolic theory to predict production and trophic transfer in a marine planktonic food web,2016,Philosophical Transactions of the Royal Society B: Biological Sciences,371,1694,20150270,,,10,2,10.1098/rstb.2015.0270,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964440176&partnerID=40&md5=e7e45000410e72f0473878442e1abc28,Article,Scopus,2-s2.0-84964440176,1,1,process,MTE,1,"N, P",microcosm,3,6,community,,,
5,"Franklin, J., Serra-Diaz, J.M., Syphard, A.D., Regan, H.M.",Global change and terrestrial plant community dynamics,2016,Proceedings of the National Academy of Sciences of the United States of America,113,14,,3725,3734,,1,10.1073/pnas.1519911113,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962744047&partnerID=40&md5=fd92a7c3489d9802f1db0760f1c0c277,Article,Scopus,2-s2.0-84962744047,0,1,,,,,,,,,,,
6,"He, X., He, K.S., HyvÌ_nen, J.",Will bryophytes survive in a warming world?,2016,"Perspectives in Plant Ecology, Evolution and Systematics",19,,,49,60,,1,10.1016/j.ppees.2016.02.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959334123&partnerID=40&md5=169ed533093e6dce093f521356726fdb,Review,Scopus,2-s2.0-84959334123,0,1,,,,,,,,,,,
7,"Wu, P., Wang, X.P., Zhang, X.P., Zhu, B., Zhou, H.C., Fang, J.Y.","Effects of climate, forest type and light availability on litter decomposition rate in forests of Northeast China",2016,Shengtai Xuebao/ Acta Ecologica Sinica,36,8,,2223,2232,,,10.5846/stxb201410101991,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964734955&partnerID=40&md5=8e9115a81cb2d56a1c8fe90dbfb999f4,Article,Scopus,2-s2.0-84964734955,0,1,,,,,,,,,,,
8,"Miki, T., Doi, H.",Leaf phenological shifts and plant‰ÛÒmicrobe‰ÛÒsoil interactions can determine forest productivity and nutrient cycling under climate change in an ecosystem model,2016,Ecological Research,31,2,,263,274,,,10.1007/s11284-016-1333-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959135993&partnerID=40&md5=850b98146c792d909c2a5ae0277633d2,Article,Scopus,2-s2.0-84959135993,0,1,,,,,,,,,,,
9,"Fan, Z., Neff, J.C., Wieder, W.R.",Model-based analysis of environmental controls over ecosystem primary production in an alpine tundra dry meadow,2016,Biogeochemistry,128,01-Feb,,35,49,,,10.1007/s10533-016-0193-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957686083&partnerID=40&md5=db505d51b02ffad5a67dd77ab4d0b2b3,Article,Scopus,2-s2.0-84957686083,1,1,,,,,,,,,,,
10,"de Long, J.R., Sundqvist, M.K., Gundale, M.J., Giesler, R., Wardle, D.A.",Effects of elevation and nitrogen and phosphorus fertilization on plant defence compounds in subarctic tundra heath vegetation,2016,Functional Ecology,30,2,,314,325,,1,10.1111/1365-2435.12493,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958898314&partnerID=40&md5=2a282fb2a0215374ce6ca0fbf127b833,Article,Scopus,2-s2.0-84958898314,1,1,,,,,,,,,,,
11,"Fahey, C., Winter, K., Slot, M., Kitajima, K.",Influence of arbuscular mycorrhizal colonization on whole-plant respiration and thermal acclimation of tropical tree seedlings,2016,Ecology and Evolution,6,3,,859,870,,1,10.1002/ece3.1952,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956801877&partnerID=40&md5=e4f59e795d1fa331049b4cad97d4de95,Article,Scopus,2-s2.0-84956801877,0,1,,,,,,,,,,,
12,"Lesser, M.P., Fiore, C., Slattery, M., Zaneveld, J.","Climate change stressors destabilize the microbiome of the Caribbean barrel sponge, Xestospongia muta",2016,Journal of Experimental Marine Biology and Ecology,475,,,11,18,,1,10.1016/j.jembe.2015.11.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947080776&partnerID=40&md5=603a8b34f1d4d58024404ac0f4c8e497,Article,Scopus,2-s2.0-84947080776,0,1,,,,,,,,,,,
13,"Sloan, V.L., Fletcher, B.J., Phoenix, G.K.",Contrasting synchrony in root and leaf phenology across multiple sub-Arctic plant communities,2016,Journal of Ecology,104,1,,239,248,,,10.1111/1365-2745.12506,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954433363&partnerID=40&md5=5113eca84710bc21a0ecc79fc67b4f21,Article,Scopus,2-s2.0-84954433363,0,1,,,,,,,,,,,
