ID,Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
1,"de Scally, S.Z., Makhalanyane, T.P., Frossard, A., Hogg, I.D., Cowan, D.A.","Antarctic microbial communities are functionally redundant, adapted and resistant to short term temperature perturbations",2016,Soil Biology and Biochemistry,103,,,160,170,,,10.1016/j.soilbio.2016.08.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983614144&partnerID=40&md5=2d0630b3ca5e1ea282ddb9c69fd4afc2,Article,Scopus,2-s2.0-84983614144
2,"Sun, G., Wang, Z., Zhu-Barker, X., Zhang, N., Wu, N., Liu, L., Lei, Y.",Biotic and abiotic controls in determining exceedingly variable responses of ecosystem functions to extreme seasonal precipitation in a mesophytic alpine grassland,2016,Agricultural and Forest Meteorology,228-229,,,180,190,,,10.1016/j.agrformet.2016.07.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978794725&partnerID=40&md5=ee8bbb8d60a0e72f0e80b522b612e995,Article,Scopus,2-s2.0-84978794725
3,"Kumar, A., Guria, C., Chitres, G., Chakraborty, A., Pathak, A.K.",Modelling of microalgal growth and lipid production in Dunaliella tertiolecta using nitrogen-phosphorus-potassium fertilizer medium in sintered disk chromatographic glass bubble column,2016,Bioresource Technology,218,,,1021,1036,,,10.1016/j.biortech.2016.07.055,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978656637&partnerID=40&md5=2094afc7ecf04338b5b7c1d20c2404b2,Article,Scopus,2-s2.0-84978656637
4,"Niu, Z., Gou, Q., Wang, X., Zhang, Y.","Simulation of a water ecosystem in a landscape lake in Tianjin with AQUATOX: Sensitivity, calibration, validation and ecosystem prognosis",2016,Ecological Modelling,335,,,54,63,,,10.1016/j.ecolmodel.2016.05.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969850723&partnerID=40&md5=949059027608b93f56db7d01bc3e441e,Article,Scopus,2-s2.0-84969850723
5,"Shikano, I., Cory, J.S.",Altered nutrient intake by baculovirus-challenged insects: Self-medication or compensatory feeding?,2016,Journal of Invertebrate Pathology,139,,,25,33,,,10.1016/j.jip.2016.07.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978393998&partnerID=40&md5=33d49f30512fad0c920a657c1ba9186c,Article,Scopus,2-s2.0-84978393998
6,"Hoffmann, M., Raeder, U.",Predicting the potential distribution of neophytes in Southern Germany using native Najas marina as invasion risk indicator,2016,Environmental Earth Sciences,75,17,1217,,,,,10.1007/s12665-016-6004-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984621937&partnerID=40&md5=d7142076d8bca2b4367c80297008f76e,Article,Scopus,2-s2.0-84984621937
7,"Howell, K.-L., Piechaud, N., Downie, A.-L., Kenny, A.",The distribution of deep-sea sponge aggregations in the North Atlantic and implications for their effective spatial management,2016,Deep-Sea Research Part I: Oceanographic Research Papers,115,,,203,220,,,10.1016/j.dsr.2016.07.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979871550&partnerID=40&md5=5df246adfdf64644df20a14440cad0b9,Article,Scopus,2-s2.0-84979871550
8,"Fridley, J.D., Lynn, J.S., Grime, J.P., Askew, A.P.",Longer growing seasons shift grassland vegetation towards more-productive species,2016,Nature Climate Change,6,9,,865,868,,,10.1038/nclimate3032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983591910&partnerID=40&md5=f9aa4f1fc130ec245bde8be4a4d2af30,Article,Scopus,2-s2.0-84983591910
9,"Yue, K., Wu, F., Yang, W., Zhang, C., Peng, Y., Tan, B., Xu, Z., Huang, C.",Cellulose dynamics during foliar litter decomposition in an alpine forest meta-ecosystem,2016,Forests,7,8,176,,,,,10.3390/f7080176,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984674741&partnerID=40&md5=9fc11ba5f522e98240632b0bd6ffa772,Article,Scopus,2-s2.0-84984674741
10,"Catherine, A., Selma, M., Mouillot, D., Troussellier, M., Bernard, C.",Patterns and multi-scale drivers of phytoplankton species richness in temperate peri-urban lakes,2016,Science of the Total Environment,559,,,74,83,,,10.1016/j.scitotenv.2016.03.179,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963680097&partnerID=40&md5=e9e5a8f896d66304fa40def87795c210,Article,Scopus,2-s2.0-84963680097
11,"Gallina, N., Beniston, M., Jacquet, S.",Estimating future cyanobacterial occurrence and importance in lakes: a case study with Planktothrix rubescens in Lake Geneva,2016,Aquatic Sciences,,,,1,15,,,10.1007/s00027-016-0494-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978099923&partnerID=40&md5=b6edee598eca508a9423772bc5dc4846,Article in Press,Scopus,2-s2.0-84978099923
12,"Descy, J.-P., Leprieur, F., Pirlot, S., Leporcq, B., Van Wichelen, J., Peretyatko, A., Teissier, S., Codd, G.A., Triest, L., Vyverman, W., Wilmotte, A.",Identifying the factors determining blooms of cyanobacteria in a set of shallow lakes,2016,Ecological Informatics,34,,,129,138,,,10.1016/j.ecoinf.2016.05.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971631251&partnerID=40&md5=6d37db9f2a28a11df27e642ac5550a1e,Article,Scopus,2-s2.0-84971631251
13,"van der Putten, W.H., Bradford, M.A., Pernilla Brinkman, E., van de Voorde, T.F.J., Veen, G.F., Bailey, J.K.","Where, when and how plantâ€“soil feedback matters in a changing world",2016,Functional Ecology,30,7,,1109,1121,,6,10.1111/1365-2435.12657,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964577534&partnerID=40&md5=09e9eb8779ea7590c9b1d0e6b8210574,Article,Scopus,2-s2.0-84964577534
14,"McCue, M.D., Boardman, L., Clusella-Trullas, S., Kleynhans, E., Terblanche, J.S.",The speed and metabolic cost of digesting a blood meal depends on temperature in a major disease vector,2016,Journal of Experimental Biology,219,12,,1893,1902,,1,10.1242/jeb.138669,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982969147&partnerID=40&md5=d28fd8f2c601835914a210752af0b5fd,Article,Scopus,2-s2.0-84982969147
